               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14164,           0.0056842,            0.084891,          0.00089522,            0.041995,          0.00069821,          0.00016211,             0.13865,           0.0039042,            0.086066,           0.0033329,           0.0033329,            0.070004
                   1,             0.13588,           0.0068974,            0.081976,            0.039554,            0.050083,           0.0017344,          0.00042146,             0.13573,           0.0043595,            0.084997,           0.0036664,           0.0036664,            0.037004
